iter	Passed	Remaining
0	163	163636
1	166	82837
2	167	55747
3	169	42176
4	170	34023
5	172	28626
6	174	24759
7	176	21852
8	177	19591
9	179	17784
10	181	16310
11	183	15078
12	184	14027
13	186	13136
14	188	12355
15	189	11672
16	191	11064
17	193	10538
18	194	10067
19	196	9634
20	198	9240
21	199	8890
22	201	8568
23	203	8270
24	205	7996
25	206	7745
26	208	7510
27	210	7291
28	211	7089
29	213	6896
30	214	6720
31	216	6551
32	218	6394
33	219	6246
34	221	6114
35	223	5982
36	224	5853
37	226	5732
38	228	5620
39	229	5513
40	231	5410
41	233	5314
42	234	5222
43	236	5135
44	238	5058
45	240	4978
46	241	4902
47	243	4832
48	245	4762
49	247	4701
50	249	4635
51	250	4573
52	252	4513
53	254	4455
54	256	4400
55	258	4350
56	259	4298
57	261	4251
58	263	4205
59	265	4157
60	267	4111
61	268	4067
62	270	4023
63	272	3987
64	274	3947
65	276	3908
66	277	3867
67	278	3819
68	280	3783
69	282	3748
70	283	3714
71	285	3682
72	287	3653
73	289	3626
74	291	3597
75	293	3568
76	295	3541
77	297	3513
78	299	3486
79	300	3458
80	302	3433
81	304	3412
82	307	3393
83	309	3371
84	310	3344
85	313	3329
86	314	3304
87	317	3294
88	320	3275
89	322	3261
90	324	3244
91	327	3229
92	329	3211
93	331	3194
94	333	3176
95	335	3158
96	337	3140
97	339	3122
98	341	3108
99	343	3094
100	345	3079
101	347	3055
102	349	3041
103	351	3028
104	353	3015
105	355	3000
106	357	2985
107	359	2971
108	362	2963
109	364	2949
110	366	2937
111	369	2926
112	371	2914
113	373	2903
114	376	2898
115	378	2887
116	382	2884
117	385	2881
118	387	2869
119	390	2864
120	393	2856
121	395	2846
122	396	2828
123	398	2817
124	400	2803
125	402	2789
126	403	2776
127	405	2759
128	406	2746
129	408	2733
130	410	2720
131	411	2708
132	413	2695
133	415	2682
134	416	2671
135	418	2661
136	421	2652
137	422	2641
138	424	2631
139	426	2622
140	428	2613
141	430	2603
142	433	2596
143	435	2588
144	437	2579
145	439	2569
146	441	2559
147	443	2551
148	444	2541
149	447	2533
150	448	2524
151	451	2517
152	453	2509
153	455	2501
154	457	2495
155	459	2486
156	461	2479
157	464	2472
158	467	2471
159	470	2470
160	472	2464
161	475	2458
162	477	2453
163	480	2447
164	482	2439
165	484	2433
166	486	2427
167	488	2420
168	490	2413
169	492	2405
170	495	2401
171	497	2395
172	499	2387
173	501	2380
174	504	2379
175	507	2373
176	509	2368
177	512	2365
178	514	2361
179	517	2356
180	518	2346
181	520	2340
182	523	2335
